,男性,女性,無回答,合計,標本数
全体,47.7,45.8,6.4,100.0,"14,091"
韓国,48.8,47.3,3.9,100.0,1763
台湾,44.4,52.4,3.3,100.0,1438
香港,43.0,49.2,7.8,100.0,693
中国,43.0,51.2,5.8,100.0,2509
タイ,33.5,59.6,6.9,100.0,565
シンガポール,49.6,44.8,5.5,100.0,397
マレーシア,47.9,48.5,3.6,100.0,165
米国,51.8,39.1,9.1,100.0,2164
カナダ,56.3,35.0,8.7,100.0,412
英国,56.5,36.3,7.3,100.0,248
ドイツ,55.1,35.7,9.2,100.0,272
フランス,57.4,34.6,8.0,100.0,324
イタリア,56.8,38.0,5.3,100.0,361
スペイン,48.0,43.4,8.7,100.0,173
オーストラリア,48.7,43.9,7.4,100.0,421
インド,69.3,22.2,8.5,100.0,176
インドネシア,43.8,49.2,7.0,100.0,370
フィリピン,38.8,55.7,5.5,100.0,343
ベトナム,40.4,47.7,11.9,100.0,151
ロシア,43.5,54.3,2.2,100.0,46
その他,51.5,41.2,7.4,100.0,1100
