"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131067","131067C00001","台東区","上野公園大黒天横","ウエノコウエンダイコクテンヨコ","","131067","","東京都台東区上野公園10-17前","東京都","台東区","上野公園","10-17 前","","","35.718902","139.769838","","","","1","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00002","台東区","池ノ端弁天前","イケノハタベンテンマエ","","131067","","東京都台東区上野2-14-21前","東京都","台東区","上野2丁目","14-21 前","","","35.711417","139.772975","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00003","台東区","三ノ輪二丁目","ミノワニチョウメ","","131067","","東京都台東区三ノ輪2-13-8","東京都","台東区","三ノ輪2丁目","13-8","","","35.730333","139.792374","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00004","台東区","寛永寺前","カンエイジマエ","","131067","","東京都台東区上野桜木2-6-20前","東京都","台東区","上野桜木2丁目","6-20 前","","","35.722389","139.773811","","","","2","","1","","","1","","","","1","","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00005","台東区","三ノ輪交番裏","ミノワコウバンウラ","","131067","","東京都台東区竜泉2-20-13","東京都","台東区","竜泉2丁目","20-13","","","35.728363","139.790572","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00006","台東区","台東一丁目","タイトウイッチョウメ","","131067","","東京都台東区台東1-6-5","東京都","台東区","台東1丁目","6-5","","","35.700715","139.777083","","","","1","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00007","台東区","龍谷寺脇","リュウコクジワキ","","131067","","東京都台東区東上野5-5-5","東京都","台東区","東上野5丁目","5-5","","","35.712454","139.782213","","","","1","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00008","台東区","西郷銅像下","サイゴウドウゾウシタ","","131067","","東京都台東区上野4-10-8前","東京都","台東区","上野4丁目","10-8 前","","","35.711008","139.774147","","","","3","","2","","","3","","","","1","","有","有","00:00","00:00","２４時間利用可能 ただしバリアフリートイレは7:00～21:45が利用可","","",""
"131067","131067C00009","台東区","不忍池西側","シノバズノイケニシガワ","","131067","","東京都台東区池之端1-1-13","東京都","台東区","池之端1丁目","1-13","","","35.709265","139.769413","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00010","台東区","池之端二丁目","イケノハタニチョウメ","","131067","","東京都台東区池之端2-4-2前","東京都","台東区","池之端2丁目","4-2 前","","","35.714189","139.765996","","","","1","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00011","台東区","谷中墓地入口","ヤナカボチイリグチ","","131067","","東京都台東区谷中7-2-27前","東京都","台東区","谷中7丁目","2-27 前","","","35.723298","139.771707","","","","1","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00012","台東区","北上野一丁目","キタウエノイッチョウメ","","131067","","東京都台東区北上野1-15-12","東京都","台東区","北上野1丁目","15-12","","","35.719160","139.783407","","","","1","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00013","台東区","柳橋二丁目交番裏","ヤナギバシニチョウメコウバンウラ","","131067","","東京都台東区柳橋2-16-11","東京都","台東区","柳橋2丁目","16-11","","","35.700114","139.788457","","","","1","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00014","台東区","小島二丁目交番裏","コジマニチョウメコウバンウラ","","131067","","東京都台東区小島2-18-20","東京都","台東区","小島2丁目","18-20","","","35.706555","139.784866","","","","1","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00015","台東区","下水ポンプ場脇","ゲスイポンプジョウワキ","","131067","","東京都台東区浅草5-73-11","東京都","台東区","浅草5丁目","73-11","","","35.722926","139.798258","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00016","台東区","蔵前四丁目","クラマエヨンチョウメ","","131067","","東京都台東区蔵前4-35-8","東京都","台東区","蔵前4丁目","35-8","","","35.706169","139.789108","","","","2","","","","","","","","2","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
