#,銭湯名称,銭湯名称（カナ）,住所,定休日,営業開始時間,営業終了時間,営業時間特記事項,入浴料金（基本）,入浴料金（詳細）,URL,X座標,Y座標
1,アクアプレイス旭,アクアプレイスアサヒ,東京都台東区浅草5-10-5,火,15:00,0:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://www.asahiyuplus.com/asahiyuplus/Details/asahiyu,139.794467,35.720098
2,曙湯,アケボノユ,東京都台東区浅草4-17-1,第1・第3金,15:00,0:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.795466,35.718488
3,朝日湯,アサヒユ,東京都台東区谷中2-18-7,年中無休,10:00,1:30,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.764561,35.724657
4,有馬湯,アリマユ,東京都台東区竜泉3-31-2,水,14:00,23:30,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://plaza.rakuten.co.jp/arimayu/diary/201307270000/,139.795081,35.726739
5,（休業中）恵美須湯,エビスユ,東京都台東区下谷3-18-9,休業中,休業中,休業中,コインランドリー営業中,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.788479,35.726952
6,（休業中）大久保湯,オオクボユ,東京都台東区松が谷3-13-10,休業中,休業中,休業中,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.787691,35.716333
7,改栄湯,カイエイユ,東京都台東区三ノ輪2-10-15,金,14:00,0:00,土・日12:00～0:00,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.794317,35.730135
8,寿湯,コトブキユ,東京都台東区東上野5-4-17,第3木,11:00,1:30,最終受付1:05、1月元日・２日お休み,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://www7.plala.or.jp/iiyudana/,139.782708,35.712428
9,（休業中）白水湯,シロミズユ,東京都台東区入谷1-21-12,休業中,休業中,休業中,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.786606,35.721137
10,燕湯,ツバメユ,東京都台東区上野3-14-5,月・火,6:00,20:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://www.tsubameyu.com/,139.772857,35.705752
11,鶴の湯（浅草）,ツルノユ,東京都台東区浅草5-48-4,木（祝日は前日休）,14:00,23:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.799145,35.720792
12,鶴の湯（浅草橋）,ツルノユ,東京都台東区浅草橋5-27-2,土,15:30,23:30,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.783538,35.701602
13,帝国湯,テイコクユ,東京都台東区浅草橋5-23-8,月,15:30,23:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.781773,35.702035
14,堤柳泉,テイリュウセン,東京都台東区千束4-5-4,月,13:00,23:00,日曜・祝日は12:00から営業,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.797453,35.723969
15,ひだまりの泉　萩の湯,ヒダマリノイズミ　ハギノユ,東京都台東区根岸2-13-13,第3火曜日,11:00,1:00,※6:00～9:00も営業　※閉店30分前に受付終了,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://haginoyu.jp/,139.777773,35.724528
16,（休業中）日の出湯（三ノ輪）,ヒノデユ,東京都台東区三ノ輪1-15-12,休業中,休業中,休業中,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.793807,35.728032
17,日の出湯（元浅草）,ヒノデユ,東京都台東区元浅草2-10-5,水,15:00,23:40,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://hinodeyu.com/,139.784314,35.710899
18,富久の湯,フクノユ,東京都台東区千束2-34-6,不定休,15:45,23:30,日15:45～22:30（閉店30分前受付終了）、火～日6:00～10:00も営業（閉店30分前受付終了）,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.790507,35.722857
19,富士の湯,フジノユ,東京都台東区橋場2-21-7,金,14:00,23:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.805332,35.727947
20,辨天湯,ベンテンユ,東京都台東区浅草橋1-33-6浅草橋シティハイツ1階,第2・4月、1月1日は休業,15:30,23:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://www7b.biglobe.ne.jp/~bentenyu/,139.785032,35.698944
21,宝泉湯,ホウセンユ,東京都台東区根岸3-14-14,月,15:00,0:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.782559,35.722458
22,三筋湯,ミスジユ,東京都台東区三筋2-13-2,月,15:00,22:00,,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,,139.786476,35.705689
23,天然温泉　湯どんぶり栄湯,テンネンオンセン　ユドンブリサカエユ,東京都台東区日本堤1-4-5,水,14:00,0:00,日曜・祝日は12:00から営業,500,大人〔12才以上〕1名500円、中人〔6才以上12才未満（小学生）〕1名200円、小人〔6才未満（未就学児）〕1名100円,https://sakaeyu.com/,139.798751,35.725731
