"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"131067","131067100001","台東区","絹本著色元三大師画像","ケンポンチャクショクガンザンダイシガゾウ","","","区指定文化財","美術工芸品","寛永寺","","","東京都台東区上野桜木1丁目","東京都","台東区","上野桜木1丁目","","","35.720447","139.770152","","","","","","","","","1","幅","","寛永寺","1988-03-31","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100002","台東区","木造毘沙門天立像　附　感応寺毘沙門天王記","モクゾウビシャモンテンリュウゾウツケタリカンノウジビシャモンテンノウキ","","","区指定文化財","美術工芸品","天王寺","","","東京都台東区谷中7丁目","東京都","台東区","谷中7丁目","","","35.727344","139.769368","","","","","","","","","1","軀","","天王寺","1988-03-31","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100003","台東区","旧吉田屋酒店","キュウヨシダヤサケテン","","","区指定文化財","有形民俗文化財","旧吉田屋酒店","","","東京都台東区上野桜木2丁目10番6号","東京都","台東区","上野桜木2丁目10番6号","","","35.721331","139.770917","","","(03)3823-4408","","","","","","","","","台東区","1989-02-20","","","","","","","","","","","","最終確認日2024-01-09・座標精度：番地号一致"
"131067","131067100004","台東区","木造阿弥陀如来立像","モクゾウアミダニョライリュウゾウ","","","区民文化財","美術工芸品","浄念寺","","","東京都台東区蔵前4丁目","東京都","台東区","蔵前4丁目","","","35.704407","139.789296","","","","","","","","","1","軀","","浄念寺","1991-02-14","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100005","台東区","紙本著色善信聖人親鸞伝絵","シホンチャクショクゼンシンショウニンシンランデンネ","","","区民文化財","美術工芸品","報恩寺","","","東京都台東区東上野6丁目","東京都","台東区","東上野6丁目","","","35.714568","139.784095","","","","","","","","","4","巻","","報恩寺","1989-02-20","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100006","台東区","絹本著色親鸞上人絵伝","ケンポンチャクショクシンランショウニンエデン","","","区民文化財","美術工芸品","東本願寺","","","東京都台東区西浅草1丁目","東京都","台東区","西浅草1丁目","","","35.710826","139.790448","","","","","","","","","3","幅","","東本願寺","1989-02-20","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100007","台東区","木造不動明王立像","モクゾウフドウミョウオウリュウゾウ","","","区指定文化財","美術工芸品","自性院","","","東京都台東区谷中6丁目","東京都","台東区","谷中6丁目","","","35.721578","139.770059","","","","","","","","","1","軀","","自性院","1990-02-19","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100008","台東区","木造阿弥陀如来坐像","モクゾウアミダニョライザゾウ","","","区民文化財","美術工芸品","自性院","","","東京都台東区谷中6丁目","東京都","台東区","谷中6丁目","","","35.721578","139.770059","","","","","","","","","1","軀","","自性院","1989-02-20","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100009","台東区","木造地蔵菩薩立像","モクゾウジゾウボサツリュウゾウ","","","区民文化財","美術工芸品","天龍院","","","東京都台東区谷中4丁目","東京都","台東区","谷中4丁目","","","35.722716","139.767424","","","","","","","","","1","軀","","天龍院","1989-02-20","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
"131067","131067100010","台東区","絹本著色仏頂尊勝曼荼羅","ケンポンチャクショクブッチョウソンショウマンダラ","","","区指定文化財","美術工芸品","養寿院","","","東京都台東区上野桜木1丁目","東京都","台東区","上野桜木1丁目","","","35.720447","139.770152","","","","","","","","","1","幅","","養寿院","1991-02-14","","","","","","","","","","","","最終確認日2024-01-09・座標精度：小字・丁目代表点"
