全国地方公共団体コード,ID,地方公共団体名,許可番号,営業形態,名称,電話番号,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,営業者氏名,法人代表者氏名,営業者_所在地_連結表記,営業者_所在地_都道府県,営業者_所在地_市区町村,営業者_所在地_町字,営業者_所在地_番地以下,営業者_所在地_建物名等(方書),営業者_ 電話番号,許可年月日,備考
131067,,,6台台健生環き第10222号,旅館・ホテル営業,feel Akihabara STAY,,秋葉原1番5号,,,,,,35.702034,139.775146,ﾌｨｰﾙ株式会社,,東京都台東区駒形二丁目1番8号,,,,,,,2025-03-25,
131067,,,26台台健生環き第103号,旅館・ホテル営業,京急EXｲﾝ 秋葉原,(03)5289-3910,秋葉原2番1号,,,,,,35.701672,139.774948,株式会社京急ｲｰｴｯｸｽｲﾝ,,横浜市西区高島一丁目2番8号,,,,,,(03)5798-3970,2016-03-17,
131067,,,6台台健生環き第10130号,旅館・ホテル営業,Mori hotel Akihabara 2,,秋葉原5番9号,,,,,,35.702591,139.774902,株式会社森住建,,東京都北区赤羽一丁目1番6号赤羽駅前第2ﾋﾞﾙ2階,,,,,,(03)6903-8755,2024-12-10,
131067,,,30台台健生環き第109号,旅館・ホテル営業,浅草東武ﾎﾃﾙ,(03)3843-0111,浅草一丁目1番15号,,,,,,35.711311,139.797638,株式会社東武ﾎﾃﾙﾏﾈｼﾞﾒﾝﾄ,,東京都墨田区錦糸一丁目2番2号,,,,,,(03)3626-0301,2020-08-31,
131067,,,14台台健生環き第119号,旅館・ホテル営業,浅草ｾﾝﾄﾗﾙﾎﾃﾙ 本館,(03)3847-2222,浅草一丁目5番3号,,,,,,35.711292,139.794144,株式会社 ﾍﾟﾘｶﾝ観光,,東京都港区西新橋三丁目3番3号,,,,,,(03)3432-0301,2003-03-20,
131067,,,31台台健生環き第10303号,旅館・ホテル営業,AJ1HOTEL,(03)5830-6512,浅草一丁目6番1号,,,,,,35.711315,139.79393,株式会社AJ1,,東京都台東区浅草一丁目6番1号,,,,,,,2020-12-08,
131067,,,6台台健生環き第10152号,旅館・ホテル営業,NO SERVICE HOTEL asakusa         ,,浅草一丁目8番4号,,,,,,35.711628,139.793091,ﾉｰｻｰﾋﾞｽ株式会社,,東京都台東区寿一丁目17番12号ﾚﾓﾝﾋﾞﾙ2F,,,,,,,2024-12-02,
131067,,,4台台健生環き第10177号,旅館・ホテル営業,ﾌｧｰｲｰｽﾄﾋﾞﾚｯｼﾞﾎﾃﾙ東京浅草,(03)5246-3855,浅草一丁目11番6号,,,,,,35.71225,139.792313,ﾌｧｰ･ｲｰｽﾄ･ﾎｽﾋﾟﾀﾘﾃｨ･ﾏﾈｼﾞﾒﾝﾄ･ｼﾞｬﾊﾟﾝ株式会社,,東京都中央区銀座一丁目6番11号土志田ﾋﾞﾙﾃﾞｨﾝｸﾞ3F,,,,,,(03)6893-7464,2023-03-01,
131067,,,29台台健生環き第121号,旅館・ホテル営業,ﾎﾃﾙﾄﾚﾝﾄﾞ浅草2,(03)5246-5211,浅草一丁目12番7号,,,,,,35.712196,139.793015,株式会社ﾊﾙｸﾆｯｸ,,大阪府高槻市城北町二丁目11番14号,,,,,,(072)654-3789,2018-04-16,
131067,,,28台台健生環き第20号,旅館・ホテル営業,ﾎﾃﾙﾄﾚﾝﾄﾞ浅草,(03)5246-5211,浅草一丁目12番9号,,,,,,35.711979,139.79306,株式会社ﾊﾙｸﾆｯｸ,,大阪府高槻市城北町二丁目11番14号,,,,,,(072)654-3789,2016-07-22,
