全国地方公共団体コード,ID,地方公共団体名,名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,面積(㎡),備考
131130,131130_001,東京都渋谷区,恵比寿東公園,渋谷区恵比寿1-2-16,東京都,渋谷区,恵比寿一丁目,2-16,,35.6480749,139.7117732,,
131130,131130_002,東京都渋谷区,新橋ふれあい公園,渋谷区恵比寿1-23-6,東京都,渋谷区,恵比寿一丁目,23-6,,35.646403,139.7155376,,
131130,131130_003,東京都渋谷区,恵比寿しんばし公園,渋谷区恵比寿1-34-11,東京都,渋谷区,恵比寿一丁目,34-11,,35.6463726,139.7161851,,
131130,131130_004,東京都渋谷区,豊沢児童遊園地,渋谷区恵比寿2-17-19,東京都,渋谷区,恵比寿二丁目,17-19,,35.6468907,139.7193016,,
131130,131130_005,東京都渋谷区,伊達児童遊園地,渋谷区恵比寿3-11-2,東京都,渋谷区,恵比寿三丁目,11-2,,35.6443833,139.7174965,,
131130,131130_006,東京都渋谷区,恵比寿駅東口公園,渋谷区恵比寿4-2-6,東京都,渋谷区,恵比寿四丁目,2-6,,35.6466778,139.7106625,,
131130,131130_007,東京都渋谷区,景丘ちいさい秋公園,渋谷区恵比寿4-16-9,東京都,渋谷区,恵比寿四丁目,16-9,,35.6445869,139.7127171,,
131130,131130_008,東京都渋谷区,景丘公園,渋谷区恵比寿4-19-21,東京都,渋谷区,恵比寿四丁目,19-21,,35.6438867,139.7134312,,
131130,131130_009,東京都渋谷区,アメリカ橋公園,渋谷区恵比寿4-20-55,東京都,渋谷区,恵比寿四丁目,20-55,,35.6434887,139.7126321,,
131130,131130_010,東京都渋谷区,恵比寿四丁目児童遊園地,渋谷区恵比寿4-26-1,東京都,渋谷区,恵比寿四丁目,26-1,,35.6454509,139.7149212,,
131130,131130_011,東京都渋谷区,広尾一丁目児童遊園地,渋谷区広尾1-11-6,東京都,渋谷区,広尾一丁目,11-6,,35.6483175,139.7161445,,
131130,131130_012,東京都渋谷区,広尾第二児童遊園地,渋谷区広尾2-3-9,東京都,渋谷区,広尾二丁目,3-9,,35.6519266,139.7143665,,
131130,131130_013,東京都渋谷区,広尾公園,渋谷区広尾5-7-4,東京都,渋谷区,広尾五丁目,7-4,,35.6485085,139.7220135,,
131130,131130_014,東京都渋谷区,広尾児童遊園地,渋谷区広尾5-16-14,東京都,渋谷区,広尾五丁目,16-14,,35.6495433,139.7207025,,
131130,131130_015,東京都渋谷区,臨川四季の森,渋谷区広尾5-23-8,東京都,渋谷区,広尾五丁目,23-8,,35.6486016,139.7190649,,
131130,131130_016,東京都渋谷区,猿楽古代住居跡公園,渋谷区猿楽町12-5,東京都,渋谷区,猿楽町,12-5,,35.6511549,139.7023861,,8時30分～21時、年末年始（12月29日～1月3日）：8時30分～16時
131130,131130_017,東京都渋谷区,鶯谷児童遊園地,渋谷区鶯谷町7-21,東京都,渋谷区,鶯谷町,7-21,,35.6536242,139.7031798,,
131130,131130_018,東京都渋谷区,鶯谷緑地,渋谷区鉢山町5-1,東京都,渋谷区,鉢山町,5-1,,35.652619,139.6996931,,
131130,131130_019,東京都渋谷区,うぐいす公園,渋谷区鶯谷町14-33,東京都,渋谷区,鶯谷町,14-33,,35.6538005,139.7008154,,4月～10月：6時～19時11月～3月：7時～18時
131130,131130_020,東京都渋谷区,鉢山公園,渋谷区鉢山町3-33,東京都,渋谷区,鉢山町,3-33,,35.6529964,139.6988658,,
131130,131130_021,東京都渋谷区,代官山さんかく公園,渋谷区代官山町7-12,東京都,渋谷区,代官山町,7-12,,35.650656,139.7049447,,
131130,131130_022,東京都渋谷区,代官山公園,渋谷区代官山町17-10,東京都,渋谷区,代官山町,17-10,,35.6486538,139.7035522,,
131130,131130_023,東京都渋谷区,恵比寿公園,渋谷区恵比寿西1-19-1,東京都,渋谷区,恵比寿西一丁目,19-1,,35.6468459,139.7068758,,
131130,131130_024,東京都渋谷区,恵比寿南まちかど公園,渋谷区恵比寿南1-15-5,東京都,渋谷区,恵比寿南一丁目,15-5,,35.6448353,139.7096544,,
131130,131130_025,東京都渋谷区,恵比寿南一公園,渋谷区恵比寿南1-26-1,東京都,渋谷区,恵比寿南一丁目,26-1,,35.6425092,139.7118957,,キャッチボールコーナーのみ時間制7月～9月：9時～18時10月～6月：9時～17時
131130,131130_026,東京都渋谷区,恵比寿南二公園,渋谷区恵比寿南2-11-1,東京都,渋谷区,恵比寿南二丁目,11-1,,35.6435363,139.7085787,,
131130,131130_027,東京都渋谷区,原町公園,渋谷区恵比寿南3-7-26,東京都,渋谷区,恵比寿南三丁目,7-26,,35.6458048,139.7033856,,
131130,131130_028,東京都渋谷区,美竹公園,渋谷区渋谷1-18-29,東京都,渋谷区,渋谷一丁目,18-29,,35.6621125,139.7032693,,
131130,131130_029,東京都渋谷区,並木橋児童遊園地,渋谷区渋谷3-25-11,東京都,渋谷区,渋谷三丁目,25-11,,35.6547276,139.7059589,,
131130,131130_030,東京都渋谷区,常磐松公園,渋谷区東1-11-6,東京都,渋谷区,東一丁目,11-6,,35.6559349,139.7089478,,
131130,131130_031,東京都渋谷区,氷川の杜公園,渋谷区東2-5-24,東京都,渋谷区,東二丁目,5-24,,35.6544618,139.709796,,4月～10月：8時～19時11月～3月：8時～18時
131130,131130_032,東京都渋谷区,氷川みかん公園,渋谷区東2-7-8,東京都,渋谷区,東二丁目,7-8,,35.6533035,139.7099737,,
131130,131130_033,東京都渋谷区,氷川つるかめ公園,渋谷区東2-14-2,東京都,渋谷区,東二丁目,14-2,,35.652869,139.710048,,
131130,131130_034,東京都渋谷区,東三丁目児童遊園地,渋谷区東3-12-6,東京都,渋谷区,東三丁目,12-6,,35.6509704,139.7105522,,
131130,131130_035,東京都渋谷区,若羽児童遊園地,渋谷区東4-13-3,東京都,渋谷区,東四丁目,13-3,,35.6540314,139.7135815,,
131130,131130_036,東京都渋谷区,羽澤緑地,渋谷区広尾3-12-12,東京都,渋谷区,広尾三丁目,12-12,,35.6531335,139.7145937,,
131130,131130_037,東京都渋谷区,広尾北公園,渋谷区広尾4-1-40,東京都,渋谷区,広尾四丁目,1-40,,35.6562553,139.7198423,,
131130,131130_038,東京都渋谷区,広尾東公園,渋谷区広尾4-2-27,東京都,渋谷区,広尾四丁目,2-27,,35.6534183,139.7211414,,
131130,131130_039,東京都渋谷区,桜丘公園,渋谷区桜丘町30-1,東京都,渋谷区,桜丘町,30-1,,35.6555304,139.6982372,,
131130,131130_040,東京都渋谷区,百軒店児童遊園地,渋谷区道玄坂2-18-3,東京都,渋谷区,道玄坂二丁目,18-3,,35.6586848,139.6964048,,9時～18時
131130,131130_041,東京都渋谷区,円山児童遊園地,渋谷区円山町9-7,東京都,渋谷区,円山町,9-7,,35.6586046,139.6944133,,8時30分～18時
131130,131130_042,東京都渋谷区,神泉児童遊園地,渋谷区神泉町10-3,東京都,渋谷区,神泉町,10-3,,35.6552659,139.6928979,,
131130,131130_043,東京都渋谷区,宇田川公園,渋谷区宇田川町9-4,東京都,渋谷区,宇田川町,9-4,,35.6628142,139.6962258,,
131130,131130_044,東京都渋谷区,北谷公園,渋谷区神南1-7-3,東京都,渋谷区,神南一丁目,7-3,,35.6641053,139.6997837,,
131130,131130_045,東京都渋谷区,鍋島松濤公園,渋谷区松濤2-10-7,東京都,渋谷区,松濤二丁目,10-7,,35.6597779,139.6911704,,
131130,131130_046,東京都渋谷区,代々木ポニー公園,渋谷区代々木神園町4-1,東京都,渋谷区,代々木神園町,4-1,,35.6786548,139.695069,,9時～17時
131130,131130_047,東京都渋谷区,富ヶ谷しだれ桜公園,渋谷区富ヶ谷1-32-26,東京都,渋谷区,富ケ谷一丁目,32-26,,35.6661938,139.688904,,
131130,131130_048,東京都渋谷区,代々木深町小公園,渋谷区富ヶ谷1-54-1,東京都,渋谷区,富ケ谷一丁目,54-1,,35.6671825,139.689223,,
131130,131130_049,東京都渋谷区,富ヶ谷三本杉公園,渋谷区富ヶ谷2-2-13,東京都,渋谷区,富ケ谷二丁目,2-13,,35.6666326,139.6870601,,
131130,131130_050,東京都渋谷区,富ヶ谷公園,渋谷区富ヶ谷2-15-15,東京都,渋谷区,富ケ谷二丁目,15-15,,35.6632645,139.6867037,,
131130,131130_051,東京都渋谷区,富ヶ谷二丁目児童遊園地,渋谷区富ケ谷2-30-17,東京都,渋谷区,富ケ谷二丁目,30-17,,35.6651381,139.6854334,,
131130,131130_052,東京都渋谷区,富ヶ谷児童遊園地,渋谷区富ヶ谷2-45-6,東京都,渋谷区,富ケ谷二丁目,45-6,,35.667473,139.6868993,,
131130,131130_053,東京都渋谷区,上原児童遊園地,渋谷区上原1-45-3,東京都,渋谷区,上原一丁目,45-3,,35.6694938,139.6866787,,
131130,131130_054,東京都渋谷区,上原二丁目児童遊園地,渋谷区上原2-6-4,東京都,渋谷区,上原二丁目,6-4,,35.6663766,139.6840125,,
131130,131130_055,東京都渋谷区,上原公園,渋谷区上原3-13-10,東京都,渋谷区,上原三丁目,13-10,,35.6667512,139.6787299,,
131130,131130_056,東京都渋谷区,上原三丁目児童遊園地,渋谷区上原3-44-8,東京都,渋谷区,上原三丁目,44-8,,35.6679627,139.6783987,,
131130,131130_057,東京都渋谷区,西原一丁目公園,渋谷区西原1-29-1,東京都,渋谷区,西原一丁目,29-1,,35.6776346,139.679645,,
131130,131130_058,東京都渋谷区,西原せせらぎ公園,渋谷区西原1-40-50,東京都,渋谷区,西原一丁目,40-50,,35.6758383,139.6825934,,
131130,131130_059,東京都渋谷区,代々木西原公園,渋谷区西原1-47-8,東京都,渋谷区,西原一丁目,47-8,,35.6736473,139.6844313,,
131130,131130_060,東京都渋谷区,西原どんぐり公園,渋谷区西原2-25-1,東京都,渋谷区,西原二丁目,25-1,,35.6742707,139.6784967,,
131130,131130_061,東京都渋谷区,西原いこい公園,渋谷区西原2-41-6,東京都,渋谷区,西原二丁目,41-6,,35.6738983,139.6766215,,
131130,131130_062,東京都渋谷区,西原二丁目児童遊園地,渋谷区西原2-46-1,東京都,渋谷区,西原二丁目,46-1,,35.6730103,139.6786817,,
131130,131130_063,東京都渋谷区,代々木大山公園,渋谷区西原2-53-1,東京都,渋谷区,西原二丁目,53-1,,35.671604,139.6755359,,
131130,131130_064,東京都渋谷区,西原児童遊園地,渋谷区西原3-11-10,東京都,渋谷区,西原三丁目,11-10,,35.6693365,139.6796918,,
131130,131130_065,東京都渋谷区,大山児童遊園地,渋谷区大山町6-8,東京都,渋谷区,大山町,6-8,,35.6671898,139.675365,,
